"","Ensembl_ID","Gene","Frequency","Source","RNA_cell_enrichment","RNA_enriched_cell_types","RNA_tissue_enrichment","RNA_enriched_tissue_types","Protein_enrichment_tissue_type","Protein_enrichment_cell_type","Protein_enrichment_level","Tractability_sm","Tractability_ab","Tractability_PROTAC","Protein_class"
"95","ENSG00000106683","LIMK1",1,"NatGen Paper","enhanced","Fibroblasts, Macrophages, Smooth muscle cells, Endothelial cells, Proximal tubular cells","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","Medium","Discovery","Unknown","Literature","Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
"96","ENSG00000108219","TSPAN14",1,"NatGen Paper","group enriched","Endothelial cells, Macrophages, Smooth muscle cells, Fibroblasts","group enriched","Vascular, Heart muscle",NA,NA,NA,"Unknown","Predicted High","Unknown","Predicted membrane proteins, Transporters"
"97","ENSG00000108387","SEPT4",1,"Finngen","group enriched","Smooth muscle cells, Cardiomyocytes, Fibroblasts, Endothelial cells, Macrophages","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli","Low","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"98","ENSG00000108511","HOXB6",1,"Finngen","enhanced","Fibroblasts, Macrophages, Endothelial cells, Collecting duct cells, Smooth muscle cells","enriched","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins, Transcription factors"
"99","ENSG00000108590","MED31",2,"Finngen, NatGen Paper","enhanced","Fibroblasts, Proximal tubular cells, Smooth muscle cells, Endothelial cells, Macrophages","group enriched","Vascular, Kidney",NA,NA,NA,"Discovery","Unknown","Unknown","Predicted intracellular proteins"
"100","ENSG00000108641","B9D1",1,"Patsy Preprint","group enriched","Proximal tubular cells, Fibroblasts, Smooth muscle cells, Cardiomyocytes","low specificity",NA,"kidney","cells in tubules","High","Unknown","Unknown","Unknown","Disease related genes, Human disease related genes, Predicted intracellular proteins"
"101","ENSG00000108641","B9D1",1,"Patsy Preprint","group enriched","Proximal tubular cells, Fibroblasts, Smooth muscle cells, Cardiomyocytes","low specificity",NA,"heart muscle","cardiomyocytes","Medium","Unknown","Unknown","Unknown","Disease related genes, Human disease related genes, Predicted intracellular proteins"
"102","ENSG00000109072","VTN",1,"Patsy Preprint","group enriched","Fibroblasts, Cardiomyocytes, Smooth muscle cells, Proximal tubular cells, Endothelial cells","group enriched","Vascular, Heart muscle","kidney","cells in tubules","Low","Discovery","Predicted High","Unknown","Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins"
"103","ENSG00000109758","HGFAC",1,"Patsy Preprint","group enriched","Proximal tubular cells, Smooth muscle cells, Endothelial cells, Macrophages","group enriched","Kidney, Vascular",NA,NA,NA,"Discovery","Predicted Medium to Low","Unknown","Cancer-related genes, Enzymes, Plasma proteins, Predicted secreted proteins"
"104","ENSG00000109805","NCAPG",1,"Patsy Preprint","group enriched","Fibroblasts, Macrophages, Smooth muscle cells, Endothelial cells","enriched","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins"
"105","ENSG00000110274","CEP164",1,"Patsy Preprint","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Proximal tubular cells","enriched","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Disease related genes, Human disease related genes, Predicted intracellular proteins"
"106","ENSG00000110693","SOX6",1,"Finngen","group enriched","Fibroblasts, Proximal tubular cells, Cardiomyocytes, Smooth muscle cells","low specificity",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins, Transcription factors"
"107","ENSG00000110719","TCIRG1",1,"Patsy Preprint","group enriched","Fibroblasts, Macrophages, Smooth muscle cells, Endothelial cells","enriched","Vascular","heart muscle","cardiomyocytes","Medium","Unknown","Predicted High","Unknown","Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"
"108","ENSG00000110719","TCIRG1",1,"Patsy Preprint","group enriched","Fibroblasts, Macrophages, Smooth muscle cells, Endothelial cells","enriched","Vascular","kidney","cells in tubules","Medium","Unknown","Predicted High","Unknown","Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"
"109","ENSG00000111077","TNS2",1,"Finngen","group enriched","Fibroblasts, Smooth muscle cells, Endothelial cells","enriched","Vascular","kidney","cells in glomeruli","High","Unknown","Predicted High","Unknown","Enzymes, Metabolic proteins, Predicted intracellular proteins"
"110","ENSG00000111252","SH2B3",1,"Finngen","group enriched","Macrophages, Endothelial cells, Smooth muscle cells, Fibroblasts, Cardiomyocytes","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli, cells in tubules","High","Unknown","Predicted Medium to Low","Unknown","Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"
"111","ENSG00000111252","SH2B3",1,"Finngen","group enriched","Macrophages, Endothelial cells, Smooth muscle cells, Fibroblasts, Cardiomyocytes","group enriched","Vascular, Heart muscle","heart muscle","cardiomyocytes","High","Unknown","Predicted Medium to Low","Unknown","Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"
"112","ENSG00000111328","CDK2AP1",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Cardiomyocytes","enriched","Vascular","kidney","cells in tubules","Medium","Predicted","Unknown","Unknown","Predicted intracellular proteins"
"113","ENSG00000111328","CDK2AP1",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Cardiomyocytes","enriched","Vascular","heart muscle","cardiomyocytes","Medium","Predicted","Unknown","Unknown","Predicted intracellular proteins"
"114","ENSG00000111912","NCOA7",3,"Finngen, Patsy Preprint, NatGen Paper","group enriched","Fibroblasts, Endothelial cells, Smooth muscle cells, Proximal tubular cells, Macrophages","enriched","Vascular","heart muscle","cardiomyocytes","Low","Unknown","Unknown","Unknown","Predicted intracellular proteins, Transporters"
"115","ENSG00000112715","VEGFA",1,"Finngen","enhanced","Fibroblasts, Cardiomyocytes, Macrophages, Smooth muscle cells, Endothelial cells","group enriched","Vascular, Heart muscle","heart muscle","cardiomyocytes","Medium","Discovery","Clinical","Unknown","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins"
"116","ENSG00000112715","VEGFA",1,"Finngen","enhanced","Fibroblasts, Cardiomyocytes, Macrophages, Smooth muscle cells, Endothelial cells","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli, cells in tubules","Medium","Discovery","Clinical","Unknown","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins"
"117","ENSG00000112787","FBRSL1",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Cardiomyocytes","enriched","Vascular","kidney","cells in tubules","Low","Unknown","Predicted Medium to Low","Unknown","Predicted intracellular proteins"
"118","ENSG00000112992","NNT",1,"NatGen Paper","enhanced","Cardiomyocytes, Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages","group enriched","Heart muscle, Vascular","kidney","collecting ducts, distal tubules, proximal tubules (cell body)","High","Discovery","Predicted Medium to Low","Unknown","Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
"119","ENSG00000112992","NNT",1,"NatGen Paper","enhanced","Cardiomyocytes, Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages","group enriched","Heart muscle, Vascular","heart muscle","cardiomyocytes","High","Discovery","Predicted Medium to Low","Unknown","Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
"120","ENSG00000113141","IK",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Cardiomyocytes, Endothelial cells, Proximal tubular cells","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli, cells in tubules","High","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"121","ENSG00000113141","IK",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Cardiomyocytes, Endothelial cells, Proximal tubular cells","group enriched","Vascular, Heart muscle","heart muscle","cardiomyocytes","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"122","ENSG00000113269","RNF130",1,"NatGen Paper","enhanced","Fibroblasts, Macrophages, Smooth muscle cells, Endothelial cells, Proximal tubular cells","enriched","Vascular","heart muscle","cardiomyocytes","Medium","Unknown","Predicted Medium to Low","Unknown","Enzymes, Metabolic proteins, Predicted membrane proteins"
"123","ENSG00000113269","RNF130",1,"NatGen Paper","enhanced","Fibroblasts, Macrophages, Smooth muscle cells, Endothelial cells, Proximal tubular cells","enriched","Vascular","kidney","cells in tubules","Medium","Unknown","Predicted Medium to Low","Unknown","Enzymes, Metabolic proteins, Predicted membrane proteins"
"124","ENSG00000113389","NPR3",1,"Finngen","group enriched","Proximal tubular cells, Endothelial cells, Smooth muscle cells, Fibroblasts, Cardiomyocytes","low specificity",NA,"kidney","bowman's capsule, cells in glomeruli, proximal tubules (microvilli)","High","Predicted","Predicted High","Discovery","Predicted intracellular proteins, Predicted membrane proteins"
"125","ENSG00000113441","LNPEP",1,"KEGG RAAS","enhanced","Fibroblasts, Smooth muscle cells, Cardiomyocytes, Endothelial cells, Macrophages","group enriched","Vascular, Heart muscle","heart muscle","cardiomyocytes","Medium","Clinical","Predicted High","Discovery","Enzymes, Predicted membrane proteins"
"126","ENSG00000113441","LNPEP",1,"KEGG RAAS","enhanced","Fibroblasts, Smooth muscle cells, Cardiomyocytes, Endothelial cells, Macrophages","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli, cells in tubules","High","Clinical","Predicted High","Discovery","Enzymes, Predicted membrane proteins"
"127","ENSG00000115252","PDE1A",1,"Finngen","group enriched","Fibroblasts, Smooth muscle cells, Endothelial cells","enriched","Vascular","kidney","cells in tubules","High","Clinical","Unknown","Discovery","Enzymes, Metabolic proteins, Predicted intracellular proteins"
"128","ENSG00000115252","PDE1A",1,"Finngen","group enriched","Fibroblasts, Smooth muscle cells, Endothelial cells","enriched","Vascular","heart muscle","cardiomyocytes","Low","Clinical","Unknown","Discovery","Enzymes, Metabolic proteins, Predicted intracellular proteins"
"129","ENSG00000115414","FN1",1,"Patsy Preprint","group enriched","Smooth muscle cells, Fibroblasts, Endothelial cells, Macrophages","enriched","Vascular","kidney","cells in glomeruli, collecting ducts, distal tubules, proximal tubules (cell body)","High","Discovery","Clinical","Discovery","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
"130","ENSG00000115414","FN1",1,"Patsy Preprint","group enriched","Smooth muscle cells, Fibroblasts, Endothelial cells, Macrophages","enriched","Vascular","heart muscle","cardiomyocytes","Medium","Discovery","Clinical","Discovery","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
"131","ENSG00000115596","WNT6",1,"Finngen","group enriched","Smooth muscle cells, Schwann cells, Fibroblasts","enriched","Vascular","heart muscle","cardiomyocytes","Low","Unknown","Predicted High","Unknown","Predicted secreted proteins"
"132","ENSG00000115596","WNT6",1,"Finngen","group enriched","Smooth muscle cells, Schwann cells, Fibroblasts","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","Medium","Unknown","Predicted High","Unknown","Predicted secreted proteins"
"133","ENSG00000116218","NPHS2",1,"Patsy Preprint","enriched","Collecting duct cells","enriched","Kidney","kidney","cells in glomeruli","High","Unknown","Predicted High","Unknown","Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
"134","ENSG00000116260","QSOX1",1,"NatGen Paper","enriched","Fibroblasts","enriched","Vascular",NA,NA,NA,"Discovery","Predicted High","Discovery","Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
"135","ENSG00000116273","PHF13",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Proximal tubular cells","enriched","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins"
"136","ENSG00000117399","CDC20",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Proximal tubular cells, Macrophages, Endothelial cells","enriched","Vascular","kidney","cells in tubules","Low","Discovery","Unknown","Literature","Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters"
"137","ENSG00000117461","PIK3R3",1,"NatGen Paper","enriched","Endothelial cells","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli, cells in tubules","High","Clinical","Unknown","Unknown","Cancer-related genes, Metabolic proteins, Predicted intracellular proteins, RAS pathway related proteins"
"138","ENSG00000118762","PKD2",2,"Genebass Primary, AZ Primary","group enriched","Fibroblasts, Smooth muscle cells","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","Medium","Discovery","Predicted High","Unknown","Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels"
"139","ENSG00000118762","PKD2",2,"Genebass Primary, AZ Primary","group enriched","Fibroblasts, Smooth muscle cells","enriched","Vascular","heart muscle","cardiomyocytes","Medium","Discovery","Predicted High","Unknown","Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels"
"140","ENSG00000119487","MAPKAP1",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Cardiomyocytes, Proximal tubular cells, Endothelial cells","low specificity",NA,"kidney","cells in tubules","Medium","Discovery","Predicted High","Discovery","Predicted intracellular proteins"
"141","ENSG00000119487","MAPKAP1",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Cardiomyocytes, Proximal tubular cells, Endothelial cells","low specificity",NA,"heart muscle","cardiomyocytes","Medium","Discovery","Predicted High","Discovery","Predicted intracellular proteins"
"142","ENSG00000119760","SUPT7L",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Proximal tubular cells","enhanced","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins"
"143","ENSG00000119772","DNMT3A",2,"AZ Primary, Finngen","enhanced","Cardiomyocytes, Endothelial cells, Smooth muscle cells, Fibroblasts, Macrophages","enriched","Heart muscle","kidney","cells in glomeruli, cells in tubules","High","Clinical","Unknown","Discovery","Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transcription factors"
"144","ENSG00000119772","DNMT3A",2,"AZ Primary, Finngen","enhanced","Cardiomyocytes, Endothelial cells, Smooth muscle cells, Fibroblasts, Macrophages","enriched","Heart muscle","heart muscle","cardiomyocytes","Medium","Clinical","Unknown","Discovery","Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transcription factors"
"145","ENSG00000119950","MXI1",1,"NatGen Paper","enhanced","Smooth muscle cells, Fibroblasts, Cardiomyocytes, Endothelial cells, Proximal tubular cells","enhanced","Vascular","kidney","cells in tubules","Medium","Unknown","Unknown","Unknown","Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
"146","ENSG00000119950","MXI1",1,"NatGen Paper","enhanced","Smooth muscle cells, Fibroblasts, Cardiomyocytes, Endothelial cells, Proximal tubular cells","enhanced","Vascular","heart muscle","cardiomyocytes","Low","Unknown","Unknown","Unknown","Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
"147","ENSG00000120278","PLEKHG1",1,"Finngen","enriched","Endothelial cells","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli, cells in tubules","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"148","ENSG00000120278","PLEKHG1",1,"Finngen","enriched","Endothelial cells","group enriched","Vascular, Heart muscle","heart muscle","cardiomyocytes","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"149","ENSG00000120314","WDR55",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Proximal tubular cells","enriched","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins"
"150","ENSG00000120451","SNX19",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Heart muscle",NA,NA,NA,"Unknown","Predicted High","Unknown","Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
"151","ENSG00000121101","TEX14",1,"Finngen","enhanced","Macrophages, Endothelial cells, Fibroblasts, Cardiomyocytes, Smooth muscle cells","enriched","Vascular",NA,NA,NA,"Predicted","Predicted Medium to Low","Unknown","Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
"152","ENSG00000122390","NAA60",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Proximal tubular cells, Endothelial cells, Macrophages","enhanced","Vascular","kidney","cells in tubules","Medium","Discovery","Predicted High","Unknown","Enzymes, Metabolic proteins, Predicted intracellular proteins"
"153","ENSG00000122390","NAA60",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Proximal tubular cells, Endothelial cells, Macrophages","enhanced","Vascular","heart muscle","cardiomyocytes","Low","Discovery","Predicted High","Unknown","Enzymes, Metabolic proteins, Predicted intracellular proteins"
"154","ENSG00000122417","ODF2L",1,"NatGen Paper","enhanced","Fibroblasts, Endothelial cells, Smooth muscle cells","enhanced","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins"
"155","ENSG00000123213","NLN",2,"KEGG RAAS, Finngen","enhanced","Fibroblasts, Macrophages, Smooth muscle cells, Proximal tubular cells, Endothelial cells","enhanced","Vascular","kidney","cells in tubules","Medium","Unknown","Predicted High","Unknown","Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
"156","ENSG00000123213","NLN",2,"KEGG RAAS, Finngen","enhanced","Fibroblasts, Macrophages, Smooth muscle cells, Proximal tubular cells, Endothelial cells","enhanced","Vascular","heart muscle","cardiomyocytes","Low","Unknown","Predicted High","Unknown","Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
"157","ENSG00000123454","DBH",2,"Finngen, Patsy Preprint","enriched","Smooth muscle cells","low specificity",NA,NA,NA,NA,"Clinical","Predicted High","Unknown","Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
"158","ENSG00000124203","ZNF831",1,"Finngen","enriched","T-cells","low specificity",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins"
"159","ENSG00000124762","CDKN1A",2,"NatGen Paper, Patsy Preprint","group enriched","Fibroblasts, Endothelial cells, Smooth muscle cells, Macrophages, Cardiomyocytes","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","Low","Predicted","Unknown","Unknown","Cancer-related genes, Human disease related genes, Predicted intracellular proteins"
"160","ENSG00000125779","PANK2",1,"Genebass Secondary","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Proximal tubular cells","enriched","Vascular","kidney","cells in tubules","Low","Discovery","Unknown","Discovery","Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
"161","ENSG00000126217","MCF2L",1,"NatGen Paper","enriched","Endothelial cells","group enriched","Vascular, Heart muscle",NA,NA,NA,"Unknown","Predicted High","Unknown","Predicted intracellular proteins"
"162","ENSG00000127528","KLF2",1,"Patsy Preprint","group enriched","Fibroblasts, Endothelial cells, Smooth muscle cells, Macrophages","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","High","Unknown","Unknown","Unknown","Predicted intracellular proteins, Transcription factors"
"163","ENSG00000127528","KLF2",1,"Patsy Preprint","group enriched","Fibroblasts, Endothelial cells, Smooth muscle cells, Macrophages","enriched","Vascular","heart muscle","cardiomyocytes","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins, Transcription factors"
"164","ENSG00000127585","FBXL16",1,"NatGen Paper","enhanced","T-cells, Collecting duct cells, Cardiomyocytes, Fibroblasts, Proximal tubular cells","low specificity",NA,"kidney","collecting ducts","High","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"165","ENSG00000128604","IRF5",1,"NatGen Paper","enriched","Macrophages","enhanced","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"
"166","ENSG00000128607","KLHDC10",1,"Patsy Preprint","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Proximal tubular cells","enhanced","Vascular","heart muscle","cardiomyocytes","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"167","ENSG00000128607","KLHDC10",1,"Patsy Preprint","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Proximal tubular cells","enhanced","Vascular","kidney","cells in tubules","Low","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"168","ENSG00000128829","EIF2AK4",1,"NatGen Paper","enhanced","Fibroblasts, Endothelial cells, Smooth muscle cells, Macrophages, Cardiomyocytes","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","Medium","Discovery","Unknown","Literature","Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"
"169","ENSG00000128829","EIF2AK4",1,"NatGen Paper","enhanced","Fibroblasts, Endothelial cells, Smooth muscle cells, Macrophages, Cardiomyocytes","enriched","Vascular","heart muscle","cardiomyocytes","Low","Discovery","Unknown","Literature","Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"
"170","ENSG00000128908","INO80",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Macrophages","enriched","Vascular",NA,NA,NA,"Discovery","Unknown","Unknown","Predicted intracellular proteins"
"171","ENSG00000128973","CLN6",1,"NatGen Paper","group enriched","Fibroblasts, Endothelial cells, Macrophages, Smooth muscle cells, Proximal tubular cells","enriched","Vascular","kidney","cells in tubules","High","Unknown","Predicted Medium to Low","Unknown","Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
"172","ENSG00000128973","CLN6",1,"NatGen Paper","group enriched","Fibroblasts, Endothelial cells, Macrophages, Smooth muscle cells, Proximal tubular cells","enriched","Vascular","heart muscle","cardiomyocytes","Low","Unknown","Predicted Medium to Low","Unknown","Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
"173","ENSG00000129007","CALML4",1,"NatGen Paper","enriched","Proximal tubular cells","group enriched","Kidney, Vascular","kidney","cells in glomeruli, cells in tubules","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins, RAS pathway related proteins"
"174","ENSG00000129235","TXNDC17",1,"NatGen Paper","enhanced","Proximal tubular cells, Fibroblasts, Cardiomyocytes, Smooth muscle cells, Endothelial cells","low specificity",NA,"heart muscle","cardiomyocytes","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"175","ENSG00000129235","TXNDC17",1,"NatGen Paper","enhanced","Proximal tubular cells, Fibroblasts, Cardiomyocytes, Smooth muscle cells, Endothelial cells","low specificity",NA,"kidney","cells in glomeruli, cells in tubules","High","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"176","ENSG00000129245","FXR2",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Cardiomyocytes, Endothelial cells, Macrophages","group enriched","Vascular, Heart muscle","heart muscle","cardiomyocytes","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"177","ENSG00000129245","FXR2",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Cardiomyocytes, Endothelial cells, Macrophages","group enriched","Vascular, Heart muscle","kidney","bowman's capsule, cells in glomeruli, collecting ducts, distal tubules, proximal tubules (cell body)","High","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"178","ENSG00000129518","EAPP",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Proximal tubular cells, Endothelial cells, Cardiomyocytes","low specificity",NA,"kidney","cells in glomeruli, cells in tubules","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"179","ENSG00000129518","EAPP",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Proximal tubular cells, Endothelial cells, Cardiomyocytes","low specificity",NA,"heart muscle","cardiomyocytes","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"180","ENSG00000129911","KLF16",1,"Finngen","group enriched","Macrophages, Fibroblasts, Endothelial cells, Smooth muscle cells, Proximal tubular cells","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins, Transcription factors"
"181","ENSG00000129911","KLF16",1,"Finngen","group enriched","Macrophages, Fibroblasts, Endothelial cells, Smooth muscle cells, Proximal tubular cells","enriched","Vascular","heart muscle","cardiomyocytes","High","Unknown","Unknown","Unknown","Predicted intracellular proteins, Transcription factors"
"182","ENSG00000130165","ELOF1",1,"Finngen","enhanced","Fibroblasts, Proximal tubular cells, Smooth muscle cells, Endothelial cells, Cardiomyocytes","low specificity",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins"
"183","ENSG00000130203","APOE",1,"Patsy Preprint","group enriched","Fibroblasts, Proximal tubular cells, Smooth muscle cells, Macrophages, Endothelial cells","group enriched","Vascular, Kidney","kidney","proximal tubules (cell body)","Medium","Discovery","Predicted High","Unknown","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted secreted proteins"
"184","ENSG00000130234","ACE2",1,"KEGG RAAS","group enriched","Fibroblasts, Smooth muscle cells, Proximal tubular cells, Cardiomyocytes, Endothelial cells","low specificity",NA,"kidney","bowman's capsule, proximal tubules (cell body), proximal tubules (microvilli)","High","Discovery","Predicted High","Discovery","Enzymes, Metabolic proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"
"185","ENSG00000130368","MAS1",1,"KEGG RAAS","enhanced","Fibroblasts, Smooth muscle cells, Macrophages, Endothelial cells, Proximal tubular cells","enriched","Vascular",NA,NA,NA,"Predicted","Predicted High","Unknown","Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"
"186","ENSG00000130511","SSBP4",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Proximal tubular cells","enriched","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins"
"187","ENSG00000130592","LSP1",2,"Patsy Preprint, Finngen","enhanced","Fibroblasts, Macrophages, T-cells, Smooth muscle cells, Endothelial cells","enriched","Vascular",NA,NA,NA,"Unknown","Predicted Medium to Low","Unknown","Predicted intracellular proteins"
"188","ENSG00000130598","TNNI2",1,"Finngen","enriched","Macrophages","group enriched","Vascular, Kidney",NA,NA,NA,"Clinical","Predicted Medium to Low","Unknown","Disease related genes, Human disease related genes, Predicted intracellular proteins"
"189","ENSG00000130731","METTL26",1,"NatGen Paper","enhanced","Fibroblasts, Proximal tubular cells, Smooth muscle cells, Endothelial cells, Cardiomyocytes","low specificity",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins"
